127.0.0.1 - - [17/Jun/2021:17:47:44 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [17/Jun/2021:17:47:45 +0900] "GET /Jsp14_Test/ HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [17/Jun/2021:17:47:47 +0900] "GET /Jsp14_Test/doom.html HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [17/Jun/2021:17:48:18 +0900] "GET /Jsp14_Test/success.html?email= HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [17/Jun/2021:17:48:24 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Jun/2021:17:48:31 +0900] "GET /Jsp14_Test/success.html?email= HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [17/Jun/2021:17:53:14 +0900] "GET /Jsp14_Test/doom.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2021:17:53:25 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Jun/2021:17:57:01 +0900] "GET /Jsp14_Test/doom.html HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [17/Jun/2021:17:57:01 +0900] "GET /Jsp14_Test/doom.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2021:17:57:02 +0900] "GET /Jsp14_Test/doom.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2021:17:57:03 +0900] "GET /Jsp14_Test/doom.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2021:17:57:16 +0900] "GET /favicon.ico HTTP/1.1" 404 818
